name;address;cp;ville;country;phone;description
PHARMACIE CHRISTELLE BURGAT;297 AV DU 11 NOVEMBRE 1918;01110;HAUTEVILLE LOMPNES;FRANCE;04 74 35 30 16;Pharmacie d'Officine
PHARMACIE DU CRET;R MASONOD;01110;HAUTEVILLE LOMPNES;FRANCE;04 74 35 30 12;Pharmacie d'Officine
PHARMACIE DES MONTS BERTHIANDS;705 GRANDE  RUE;01580;IZERNORE;FRANCE;04 74 76 50 00;Pharmacie d'Officine
PHARMACIE DU MARMONT;R DU MARMONT;01480;JASSANS RIOTTIER;FRANCE;04 74 60 80 36;Pharmacie d'Officine
PHARMACIE BATHIER-BRETTON;R JEAN MONNET;01480;JASSANS RIOTTIER;FRANCE;04 74 60 92 21;Pharmacie d'Officine
PHARMACIE DE JUJURIEUX;AV DES SPORTS;01640;JUJURIEUX;FRANCE;04 74 36 81 66;Pharmacie d'Officine
PHARMACIE MATHIEU;1 R MARCHE  18 RUE PASTEUR;01150;LAGNIEU;FRANCE;04 74 35 71 99;Pharmacie d'Officine
PHARMACIE PERDRIX-DANIERE;3 PL DE LA LIBERTE;01150;LAGNIEU;FRANCE;04 74 35 75 99;Pharmacie d'Officine
PHARMACIE DEMENTHON-COGNET;48 RTE DU PORT;01150;LAGNIEU;FRANCE;04 74 35 76 66;Pharmacie d'Officine
PHARMACIE GOENVEC-ESTAVOYER;LA CHAPELLE;01410;LELEX;FRANCE;04 50 20 92 33;Pharmacie d'Officine
PHARMACIE DE LENT;PL DE LA MAIRIE;01240;LENT;FRANCE;04 74 52 74 71;Pharmacie d'Officine
PHARMACIE DE LOYETTES;171 R du Bugey;01360;LOYETTES;FRANCE;04 78 32 70 98;Pharmacie d'Officine
PHARMACIE DU BOURG;1318 GRAND'ROUTE;01570;MANZIAT;FRANCE;03 85 36 14 15;Pharmacie d'Officine
PHARMACIE DE MARBOZ;R SAINT CREPIN;01851;MARBOZ;FRANCE;;Pharmacie d'Officine
PHARMACIE DE MASSIEUX;CHE DU PREBLANC;01600;MASSIEUX;FRANCE;04 78 98 37 04;Pharmacie d'Officine
PHARMACIE FERREOL;1 R DE LYON;01800;MEXIMIEUX;FRANCE;04 74 61 00 12;Pharmacie d'Officine
PHARMACIE LUZY-FOULON;22 AV DE DENKENDORF;01800;MEXIMIEUX;FRANCE;;Pharmacie d'Officine
PHIE DU CENTRE COMMERCIAL MEXIMIEUX;39 R DE LYON;01800;MEXIMIEUX;FRANCE;04 74 61 28 77;Pharmacie d'Officine
S.E.L PHARMAXINE;156 GR ;01660;MEZERIAT;FRANCE;04 74 30 26 23;Pharmacie d'Officine
PHARMACIE RAVIER - LLEO;1051 GRANDE RUE;01700;MIRIBEL;FRANCE;04 78 55 44 79;Pharmacie d'Officine
PHARMACIE DES ACACIAS;1138 GRANDE RUE;01700;MIRIBEL;FRANCE;04 78 55 16 38;Pharmacie d'Officine
PHARMACIE VUILLEMENOT-LIEGEON;1422 GRANDE RUE;01700;MIRIBEL;FRANCE;04 72 25 82 65;Pharmacie d'Officine
PHARMACIE  DELVIL-LARTAUD;187 CRS CONDE;01120;MONTLUEL;FRANCE;04 78 06 10 21;Pharmacie d'Officine
PHARMACIE DE LA SEREINE;245 GRANDE RUE;01120;MONTLUEL;FRANCE;04 78 06 11 68;Pharmacie d'Officine
PHARMACIE SANDRE;14 PL DE L EGLISE;01090;MONTMERLE SUR SAONE;FRANCE;04 74 69 37 93;Pharmacie d'Officine
PHARMACIE ZAMBUJO;15 AV DE BRESSE;01460;MONTREAL LA CLUSE;FRANCE;04 74 76 06 66;Pharmacie d'Officine
PHARMACIE DU QUEBEC;2 R de Brolliat;01460;MONTREAL LA CLUSE;FRANCE;04 74 76 15 91;Pharmacie d'Officine
PHARMACIE CENTRALE;25 GRANDE RUE;01340;MONTREVEL EN BRESSE;FRANCE;04 74 25 40 17;Pharmacie d'Officine
PHARMACIE DES 4 CHEMINS;1 R DE LA GARE;01340;MONTREVEL EN BRESSE;FRANCE;04 74 30 80 04;Pharmacie d'Officine
SARL DES DAPHNEES;55 R DU DOCTEUR MERCIER;01130;NANTUA;FRANCE;04 74 75 00 50;Pharmacie d'Officine
PHARMACIE DU COLLEGE;19 R DU COLLEGE;01130;NANTUA;FRANCE;04 74 75 00 42;Pharmacie d'Officine
SELARL PHARMACIE GLEIZON;R de la Bresse;01400;NEUVILLE LES DAMES;FRANCE;04 74 55 60 24;Pharmacie d'Officine
SADRD PHARMAGALT;1 ARC D ORNEX;01210;ORNEX;FRANCE;04 50 40 53 86;Pharmacie d'Officine
PHARMACIE DE LA VAPEUR;44 R ANATOLE FRANCE;01100;OYONNAX;FRANCE;04 74 77 13 12;Pharmacie d'Officine
PHARMACIE MATZ-VENARD;78 R ANATOLE FRANCE;01100;OYONNAX;FRANCE;04 74 77 00 69;Pharmacie d'Officine
MA PHARMACIE;98 R ANATOLE FRANCE;01100;OYONNAX;FRANCE;;Pharmacie d'Officine
PHARMACIE ANATOLE;100 R ANATOLE FRANCE;01100;OYONNAX;FRANCE;04 74 73 04 66;Pharmacie d'Officine
SELARL PHARMACIE DES ROCHETTES;53 R BRILLAT SAVARIN;01100;OYONNAX;FRANCE;04 74 77 14 32;Pharmacie d'Officine
PHARMACIE CENTRALE;74 R MICHELET;01100;OYONNAX;FRANCE;;Pharmacie d'Officine
PHARMACIE DE LA FORGE;28 R Saint-Exupéry;01100;OYONNAX;FRANCE;04 74 77 44 19;Pharmacie d'Officine
PHARMACIE DE LA PLAINE;93 CRS DE VERDUN;01100;OYONNAX;FRANCE;04 74 77 31 06;Pharmacie d'Officine
PHARMACIE CHARREIX-FAVRE;92 CRS DE VERDUN;01100;OYONNAX;FRANCE;04 74 77 14 53;Pharmacie d'Officine
PHARMACIE DE LA TREFILERIE;240 AV DE LYON;01960;PERONNAS;FRANCE;04 74 21 34 04;Pharmacie d'Officine
PHARMACIE DE LA MAIRIE;PL DE LA MAIRIE;01960;PERONNAS;FRANCE;04 74 21 80 53;Pharmacie d'Officine
SELARL DU CADUCEE;117 RTE DE BOURG EN BRESSE;01310;POLLIAT;FRANCE;04 74 30 40 48;Pharmacie d'Officine
PHARMACIE DE PONCIN;21 PL BICHAT;01450;PONCIN;FRANCE;04 74 37 20 31;Pharmacie d'Officine
PHARMACIE DES BORDS DE L'AIN;R DU 1ER SEPTEMBRE 1944;01160;PONT D AIN;FRANCE;04 74 39 01 66;Pharmacie d'Officine
PHARMACIE SIAUVE;9 R DE LYON;01630;ST GENIS POUILLY;FRANCE;04 50 40 12 69;Pharmacie d'Officine
PHARMACIE SURACE;14 R MAL DE LATTRE DE TASSIGNY;01190;PONT DE VAUX;FRANCE;04 85 30 30 36;Pharmacie d'Officine
PHARMACIE VERGOBBI;80 R DU MARECHAL DE LATTRE DE TA;01190;PONT DE VAUX;FRANCE;03 85 30 96 58;Pharmacie d'Officine
PHARMACIE VOISIN;41 GRANDE RUE;01290;PONT DE VEYLE;FRANCE;03 85 36 27 44;Pharmacie d'Officine
PHARMACIE COTTIN;CHE DE LA RAVOIRE;01280;PREVESSIN MOENS;FRANCE;04 50 40 57 66;Pharmacie d'Officine
PHARMACIE DE PRIAY;332 GR DE LA COTIERE;01160;PRIAY;FRANCE;04 74 35 60 19;Pharmacie d'Officine
PHARMACIE DE LA MADELEINE;422 RTE DE LA MADELEINE;01750;REPLONGES;FRANCE;03 85 31 02 74;Pharmacie d'Officine
PHARMACIE SIMAO DE SOUZA - CIBERT -;53 GRANDE RUE;01600;REYRIEUX;FRANCE;04 74 00 08 97;Pharmacie d'Officine
PHARMACIE SAVOYAT;LD LA CROIX;01390;ST ANDRE DE CORCY;FRANCE;04 72 26 10 32;Pharmacie d'Officine
PHARMACIE DES PLANES;115 R DU VILLAGE;01000;ST DENIS LES BOURG;FRANCE;04 74 24 37 70;Pharmacie d'Officine
PHARMACIE DU PRINTEMPS;348 AV DE TREVOUX;01000;ST DENIS LES BOURG;FRANCE;;Pharmacie d'Officine
PHARMACIE DE SAINT-DENIS;1 R DU DOCTEUR CHARCOT;01500;ST DENIS EN BUGEY;FRANCE;04 74 38 34 00;Pharmacie d'Officine
PHARMACIE BARTHELEMY;CHE DES HUGUETS;01140;ST DIDIER SUR CHALARONNE;FRANCE;04 74 69 77 31;Pharmacie d'Officine
PHIE GINDRE - BERNADAC ET ASSOCIES;667 R CENTRALE;01370;ST ETIENNE DU BOIS;FRANCE;;Pharmacie d'Officine
PHARMACIE GROSS;12 R DE LA PETITE VIE;01630;ST GENIS POUILLY;FRANCE;;Pharmacie d'Officine
PHARMACIE LELIEVRE-BARBOTIN;22 R DE GENEVE;01630;ST GENIS POUILLY;FRANCE;04 50 42 11 49;Pharmacie d'Officine
PHARMACIE MARION-TISSIER;PL DE LA FONTAINE;01560;ST JULIEN SUR REYSSOUZE;FRANCE;04 74 52 61 03;Pharmacie d'Officine
SELARL PHARMACIE CAO-BROWN;27 R DE LA LEVEE;01750;ST LAURENT SUR SAONE;FRANCE;03 85 38 01 61;Pharmacie d'Officine
DUJOLS MARTIN;2 RTE DE LA CHANOISE;01430;ST MARTIN DU FRENE;FRANCE;04 74 75 76 83;Pharmacie d'Officine
PHARMACIE DE LA COTIERE;41 RTE DE GENEVE;01700;ST MAURICE DE BEYNOST;FRANCE;04 78 55 14 06;Pharmacie d'Officine
PHARMACIE REYMONDON;14 PL DE L EGLISE;01800;ST MAURICE DE GOURDANS;FRANCE;04 74 61 87 33;Pharmacie d'Officine
PHARMACIE LAURENCE DURAND;336 R DE LA DOMBES;01240;ST PAUL DE VARAX;FRANCE;04 74 42 50 21;Pharmacie d'Officine
PHARMACIE DE L'ALBARINE;99 R DU DOCTEUR TEMPORAL;01230;ST RAMBERT EN BUGEY;FRANCE;04 74 36 33 35;Pharmacie d'Officine
PHARMACIE DE ST TRIVIER;200 RTE DE CHALON;01560;ST TRIVIER DE COURTES;FRANCE;;Pharmacie d'Officine
PHARMACIE DE SAINT TRIVIER;92 RTE DE CHATILLON;01990;ST TRIVIER SUR MOIGNANS;FRANCE;04 74 55 80 14;Pharmacie d'Officine
PHARMACIE BRISON-FOURNEUVE;32 GR RUE;01150;SAULT BRENAZ;FRANCE;04 74 36 61 56;Pharmacie d'Officine
PHARMACIE DE SEGNY;RTE NATIONALE 5;01170;SEGNY;FRANCE;04 50 41 47 93;Pharmacie d'Officine
PHARMACIE DE L'AVENT;37 GRAND RUE;01470;SERRIERES DE BRIORD;FRANCE;04 74 36 72 10;Pharmacie d'Officine
PHARMACIE BIONNET;8 QU EDOUARD SERRULAZ;01420;SEYSSEL;FRANCE;04 50 56 14 02;Pharmacie d'Officine
PHARMACIE BARBI-LOUIS;9 R CENTRALE;01230;TENAY;FRANCE;04 74 36 40 24;Pharmacie d'Officine
PHARMACIE DES MONTS JURA;R BRIAND STRESEMANN;01710;THOIRY;FRANCE;04 50 41 20 31;Pharmacie d'Officine
PHARMACIE DE THOISSEY;50 R Faubourg des Dombes;01140;THOISSEY;FRANCE;04 74 04 02 10;Pharmacie d'Officine
PHARMACIE DE TOSSIAT;15 RTE DE MONTAGNAT;01250;TOSSIAT;FRANCE;;Pharmacie d'Officine
PHARMACIE DE TREFFORT;PL du Champ de Foire;01370;VAL REVERMONT;FRANCE;04 74 51 38 12;Pharmacie d'Officine
PHARMACIE DU PARLEMENT;324 RTE DE LYON;01600;TREVOUX;FRANCE;;Pharmacie d'Officine
SELARL SAONE VALLEE;2 BD DES COMBATTANTS;01600;TREVOUX;FRANCE;04 74 00 96 91;Pharmacie d'Officine
SELARL DOREAU GILBERT;RTE DE DIVONNE;01210;VERSONNEX;FRANCE;04 50 41 14 13;Pharmacie d'Officine
GRANDE PHARMACIE DE VILLARS;13 AV GILBERT SARDIER;01330;VILLARS LES DOMBES;FRANCE;04 74 98 07 91;Pharmacie d'Officine
PHARMACIE DE LA DOMBES;76 R GILBERT BOULLIER;01330;VILLARS LES DOMBES;FRANCE;04 74 98 00 87;Pharmacie d'Officine
PHARMACIE GOURRY;PL DES COMBATTANTS;01250;VILLEREVERSURE;FRANCE;04 74 30 66 97;Pharmacie d'Officine
PHARMACIE ROUX;216 AV CHARLES DE GAULLE;01800;VILLIEU LOYES MOLLON;FRANCE;;Pharmacie d'Officine
PHARMACIE PICQUIER;45 R DU PLATEAU;01440;VIRIAT;FRANCE;04 74 45 18 08;Pharmacie d'Officine
PHARMACIE DE VIRIAT;376 R PROSPER CONVERT;01440;VIRIAT;FRANCE;04 74 25 34 23;Pharmacie d'Officine
PHARMACIE CHBANI-MISERE;R DU STADE;01510;VIRIEU LE GRAND;FRANCE;04 79 87 81 79;Pharmacie d'Officine
PHARMACIE ERMANN ET DESMARIS;PL FERDINAND DE BEOST;01540;VONNAS;FRANCE;04 74 50 02 56;Pharmacie d'Officine
PHARMACIE IMBACH;81 RTE DE GENEVE;01700;NEYRON;FRANCE;04 78 55 26 38;Pharmacie d'Officine
PHARMACIE DES ANNEAUX;PRE DE PLANCHE;01280;PREVESSIN MOENS;FRANCE;04 50 28 06 79;Pharmacie d'Officine
PHARMACIE ROBERT;32 VAL THOIRY;01710;THOIRY;FRANCE;04 50 20 87 57;Pharmacie d'Officine
PHARMACIE DE MIONNAY;92 R PRINCIPALE;01390;MIONNAY;FRANCE;04 37 26 06 94;Pharmacie d'Officine
PHARMACIE LARGE-VEYRET;156 R DES ECOLES;01600;MISERIEUX;FRANCE;04 74 08 72 44;Pharmacie d'Officine
PHARMACIE DE CORGENON;150 RTE DE TREVOUX;01310;BUELLAS;FRANCE;04 74 24 41 06;Pharmacie d'Officine
GRANDE PHARMACIE DE PERON;R Du Pré Munny;01630;PERON;FRANCE;;Pharmacie d'Officine
PHARMACIE MARLIERE - CORROYER;5 R DANTALE;02290;AMBLENY;FRANCE;03 23 74 20 01;Pharmacie d'Officine
SELARL PHARMACIE OLIVIER HAMM;4 PL Rochechouard;02320;ANIZY LE GRAND;FRANCE;03 23 80 10 33;Pharmacie d'Officine
PHARMACIE MAES;64 R DES ÉCOLES;02840;ATHIES SOUS LAON;FRANCE;;Pharmacie d'Officine
SELARL PHARMACIE DES AULNES;10 R DE CHAMBRY;02000;AULNOIS SOUS LAON;FRANCE;03 23 22 81 73;Pharmacie d'Officine
PHARMACIE RODRIGUES;2 PL CHARLES DE GAULLE;02110;BEAUREVOIR;FRANCE;03 23 09 41 67;Pharmacie d'Officine
SNC PHARMACIE DU CLOITRE;4 R ernest rousselot;02160;BEAURIEUX;FRANCE;;Pharmacie d'Officine
SELARL PHARMACIE SEIGNEZ;54 R DE TERGNIER;02800;BEAUTOR;FRANCE;03 23 56 44 87;Pharmacie d'Officine
PHARMACIE DE LA PRAIRIE;5 R LEON BLUM;02200;BELLEU;FRANCE;03 23 73 26 36;Pharmacie d'Officine
PHARMACIE MARLIERE;67 AV CHATEAU THIERRY;02200;BELLEU;FRANCE;03 23 73 20 81;Pharmacie d'Officine
PHARMACIE BLEUSE;8 PL DE L'HOTEL DE VILLE;02300;BLERANCOURT;FRANCE;03 23 39 60 43;Pharmacie d'Officine
SELARL PHARMACIE LEVEAUX;3 PL DU GENERAL DE GAULLE;02110;BOHAIN EN VERMANDOIS;FRANCE;03 23 07 11 21;Pharmacie d'Officine
PHARMACIE IDEE;R 33 RUE JEAN JAURÈS;02110;BOHAIN EN VERMANDOIS;FRANCE;03 23 07 12 80;Pharmacie d'Officine
PHARMACIE GUYOT;28 R FRANCIS DE PRESSENSÉ;02110;BOHAIN EN VERMANDOIS;FRANCE;03 23 07 23 80;Pharmacie d'Officine
PHARMACIE CAMUT;47 R DE LA GARE;02450;BOUE;FRANCE;03 23 60 00 80;Pharmacie d'Officine
PHARMACIE CENTRALE DE BOURG ET COMIN;1 PL DU MARCHÉ;02160;BOURG ET COMIN;FRANCE;03 23 24 40 14;Pharmacie d'Officine
PHARMACIE DEREGNAUCOURT - HAUTUS;49 PL CHARLES DE GAULLE;02220;BRAINE;FRANCE;03 23 74 10 49;Pharmacie d'Officine
PHARMACIE SARAZIN-TILMANT;14 PL DE MAI 1940;02360;BRUNEHAMEL;FRANCE;03 23 97 60 06;Pharmacie d'Officine
PHARMACIE DE BRUYÈRES;2 PL DU GENERAL DE GAULLE;02860;BRUYERES ET MONTBERAULT;FRANCE;;Pharmacie d'Officine
PHARMACIE GAILLARD P & F;PL DE LA MAIRIE;02880;BUCY LE LONG;FRANCE;03 23 72 87 28;Pharmacie d'Officine
PHARMACIE FOSSAERT-PY;8 R DU 11 NOVEMBRE;02620;BUIRONFOSSE;FRANCE;03 23 97 24 35;Pharmacie d'Officine
PHARMACIE LAZZARANO;68 R DU GENERAL DE GAULLE;02260;LA CAPELLE;FRANCE;03 23 97 20 65;Pharmacie d'Officine
PHARMACIE PIERRE LEONARD;44 R DU GENERAL DE GAULLE;02260;LA CAPELLE;FRANCE;03 23 97 20 37;Pharmacie d'Officine
SELARL PHARMACIE VAN INGHELANDT;28 R DU GENERAL AUGEREAU;02420;LE CATELET;FRANCE;03 23 66 21 77;Pharmacie d'Officine
PHARMACIE DES CORDELIERS;67 R EMILE MORLOT;02310;CHARLY SUR MARNE;FRANCE;03 23 82 00 47;Pharmacie d'Officine
PHARMACIE LAFORGE;14 R ARISTIDE BRIAND;02800;CHARMES;FRANCE;03 23 56 44 67;Pharmacie d'Officine
PHARMACIE DE L'ISLE;41 R CARNOT;02400;CHATEAU THIERRY;FRANCE;03 23 83 00 60;Pharmacie d'Officine
PHARMACIE DE LA TOUR;7 R DU GENERAL DE GAULLE;02400;CHATEAU THIERRY;FRANCE;03 23 83 00 63;Pharmacie d'Officine
PHARMACIE CORMONT;45 AV DE LA LIBERTE;02300;OGNES;FRANCE;03 23 39 69 66;Pharmacie d'Officine
PHARMACIE  DE LA FONTAINE;13 PL JEAN DE LA FONTAINE;02400;CHATEAU THIERRY;FRANCE;03 23 83 00 25;Pharmacie d'Officine
PHARMACIE CENTRALE;15 GRANDE RUE;02400;CHATEAU THIERRY;FRANCE;03 23 83 00 40;Pharmacie d'Officine
SELARL PHARMACIE DES FABLES;3 AV OTMUS;02400;CHATEAU THIERRY;FRANCE;03 23 83 58 45;Pharmacie d'Officine
PHARMACIE DE L'OMOIS;62 R CARNOT;02400;CHATEAU THIERRY;FRANCE;03 23 83 00 64;Pharmacie d'Officine
PHARMACIE DU GOLF;ROUTE DE SOISSONS;02400;CHATEAU THIERRY;FRANCE;03 23 84 23 84;Pharmacie d'Officine
SELARL PHARMACIE DE CHAUNY;37 BD D ANDENNE;02300;CHAUNY;FRANCE;03 23 39 44 44;Pharmacie d'Officine
SELARL PHARMACIE DE BERGHEIM;40 BD DE BERGHEIM;02300;CHAUNY;FRANCE;03 23 52 07 30;Pharmacie d'Officine
SELARL PHARMACIE D'HILLY;42 R DE LA REPUBLIQUE;02300;CHAUNY;FRANCE;03 23 52 00 59;Pharmacie d'Officine
PHARMACIE PONTHIEUX;10 R DE LA REPUBLIQUE;02300;CHAUNY;FRANCE;03 23 40 33 40;Pharmacie d'Officine
SELARL PHARMACIE DE LA CHAUSSEE;61 R DE LA CHAUSSEE;02300;CHAUNY;FRANCE;03 23 52 00 63;Pharmacie d'Officine
