name;address;country;cp;ville;phone;description
PHARMACIE DE L'ESPLANADE;16 ESP DE L HOTEL DE VILLE;FRANCE;49240;AVRILLE;02 41 33 04 04;Pharmacie d'Officine
PHARMACIE DU GRAND MARCHE;5 R DU MARCHE & 63 PLACE DU MAR;FRANCE;49150;BAUGE EN ANJOU;02 41 89 81 07;Pharmacie d'Officine
PHARMACIE BOSSARD;1 R VICTOR HUGO;FRANCE;49150;BAUGE EN ANJOU;02 41 89 12 17;Pharmacie d'Officine
PHARMACIE DU BOURG DE PAILLE;11 R DU BOURG DE PAILLE;FRANCE;49070;BEAUCOUZE;02 41 48 11 17;Pharmacie d'Officine
PHARMACIE SERRAULT;12 PL JEANNE DE LAVAL;FRANCE;49250;BEAUFORT EN ANJOU;02 41 80 30 15;Pharmacie d'Officine
PHARMACIE COUSEIN;4 R DE LA POISSONNIERE;FRANCE;49250;BEAUFORT EN ANJOU;02 41 80 30 59;Pharmacie d'Officine
PHARMACIE DES CÔTEAUX;35 R DES PALLUELLES;FRANCE;49750;BEAULIEU SUR LAYON;;Pharmacie d'Officine
PHARMACIE SAINT MARTIN;15 R ST MARTIN;FRANCE;49600;BEAUPREAU EN MAUGES;02 41 63 05 97;Pharmacie d'Officine
PHARMACIE HAVET;;FRANCE;49600;BEAUPREAU EN MAUGES;02 41 63 00 13;Pharmacie d'Officine
PHARMACIE POIRIER;2 PL GENERAL LECLERC;FRANCE;49600;BEAUPREAU EN MAUGES;02 41 63 00 14;Pharmacie d'Officine
PHARMACIE DES CHAMPS;2 IMP DU PUITS MOREAU;FRANCE;49370;BECON LES GRANITS;02 41 77 90 09;Pharmacie d'Officine
PHARMACIE RITOUET-POIRIER;;FRANCE;49080;BOUCHEMAINE;02 41 48 05 92;Pharmacie d'Officine
PHARMACIE DE BOUCHEMAINE;34 R CHEVRIERE;FRANCE;49080;BOUCHEMAINE;02 41 77 10 11;Pharmacie d'Officine
PHARMACIE DUDOIGNON;21 R DE L EGLISE;FRANCE;49650;BRAIN SUR ALLONNES;02 41 52 04 14;Pharmacie d'Officine
PHARMACIE DE L'AUTHION;13 GRANDE RUE;FRANCE;49800;LOIRE AUTHION;02 41 80 43 55;Pharmacie d'Officine
PHARMACIE DU CHATEAU;6 PL DE L EGLISE;FRANCE;49260;BELLEVIGNE LES CHATEAUX;02 41 51 68 66;Pharmacie d'Officine
PHARMACIE VARINOT-ARBAUD;3 R HENRI MATISSE;FRANCE;49125;BRIOLLAY;02 41 42 56 54;Pharmacie d'Officine
PHARMACIE MARCHAND;1 PL DU GENERAL DE GAULLE;FRANCE;49320;BRISSAC LOIRE AUBANCE;02 41 91 22 28;Pharmacie d'Officine
PHARMACIE DE L'AUBANCE;2 PL DES FRERES MONTGOLFIER;FRANCE;49320;BRISSAC LOIRE AUBANCE;02 41 91 22 15;Pharmacie d'Officine
PHARMACIE DU CENTRE;40 R DE BRETAGNE;FRANCE;49440;CANDE;02 41 92 73 72;Pharmacie d'Officine
PHARMACIE HAUDEBOURG;10 PL NATIONALE;FRANCE;49440;CANDE;02 41 92 70 43;Pharmacie d'Officine
PHARMACIE GOETZ;21 R D ANGERS;FRANCE;49460;CANTENAY EPINARD;02 41 32 10 83;Pharmacie d'Officine
PHARMACIE DE LA LOIRE;1 ALL DES TREILLES;FRANCE;49290;CHALONNES SUR LOIRE;;Pharmacie d'Officine
PHARMACIE XAVIER SERRAULT;16 R CARNOT;FRANCE;49290;CHALONNES SUR LOIRE;02 41 78 00 56;Pharmacie d'Officine
PHARMACIE DE CHAMPIGNE;PL DE L EGLISE;FRANCE;49330;CHATEAUNEUF SUR SARTHE;02 41 42 00 26;Pharmacie d'Officine
PHARMACIE GUERIN-RIGAUD;1 PL DE L EGLISE;FRANCE;49123;CHAMPTOCE SUR LOIRE;02 41 39 91 11;Pharmacie d'Officine
PHAMACIE DE CHAMPTOCEAUX;PL Paul Deltombe;FRANCE;49270;OREE D ANJOU;02 40 83 52 26;Pharmacie d'Officine
PHARMACIE MA CAMPAGNE;LD MA CAMPAGNE;FRANCE;49330;CHATEAUNEUF SUR SARTHE;02 41 69 48 47;Pharmacie d'Officine
PHARMACIE DAMAR-LIMOUZINEAU;10 R PRINCIPALE;FRANCE;49520;SEGRE EN ANJOU BLEU;02 41 61 09 33;Pharmacie d'Officine
PHARMACIE BOBINET;178 R NATIONALE;FRANCE;49120;CHEMILLE EN ANJOU;02 41 30 60 61;Pharmacie d'Officine
PHARMACIE NICOLLEAU - DILE;12 R DE LA CORDERIE;FRANCE;49120;CHEMILLE EN ANJOU;02 41 30 75 78;Pharmacie d'Officine
PHARMACIE VIAULT-BIORET;AV DU GENERAL DE GAULLE;FRANCE;49120;CHEMILLE EN ANJOU;02 41 30 60 21;Pharmacie d'Officine
PHARMACIE GUILMAULT-GALIVEL;7 R DE L HOTEL DE VILLE;FRANCE;49520;OMBREE D ANJOU;02 41 94 21 80;Pharmacie d'Officine
PHARMACIE AUDEBAULT;34 R ROYALE;FRANCE;49630;LOIRE AUTHION;02 41 45 00 28;Pharmacie d'Officine
PHARMACIE DU LYS;1 R CHANTELEVENT;FRANCE;49690;CORON;02 41 55 81 79;Pharmacie d'Officine
PHARMACIE ROUCHER;8 PL du Champ de Foire;FRANCE;49700;DOUE EN ANJOU;;Pharmacie d'Officine
PHARMACIE ALLAIN - PERICHOU;BD DU DOCTEUR LIONET;FRANCE;49700;DOUE EN ANJOU;02 41 59 10 58;Pharmacie d'Officine
PHARMACIE GOUTE-MELCHER;48 AV D'ANGERS;FRANCE;49430;DURTAL;02 41 76 30 33;Pharmacie d'Officine
PHARMACIE VULLIEMIN-KASTNER;R DU COLONEL LEON FAYE;FRANCE;49000;ECOUFLANT;02 41 43 70 41;Pharmacie d'Officine
PHARMACIE BEAL-TUFFIER;RTE DE GREZ NEUVILLE;FRANCE;49460;FENEU;02 41 32 05 09;Pharmacie d'Officine
PHARMACIE BOURGEOIS;55 AV ROCHECHOUART;FRANCE;49590;FONTEVRAUD L ABBAYE;02 41 51 71 13;Pharmacie d'Officine
PHARMACIE BORE-CHENE;3 R DU CHALET;FRANCE;49270;MONTREVAULT SUR EVRE;02 41 70 53 78;Pharmacie d'Officine
PHARMACIE DE L'AVORT;5 R DE LA POSTE;FRANCE;49350;GENNES VAL DE LOIRE;02 41 51 81 37;Pharmacie d'Officine
PHARMACIE D'ANJOU;86 R D'ANJOU;FRANCE;49600;BEAUPREAU EN MAUGES;;Pharmacie d'Officine
PHARMACIE SIMON;1 AV DE L'ETANG;FRANCE;49123;INGRANDES LE FRESNE SUR LO;02 41 39 20 12;Pharmacie d'Officine
PHARMACIE DE JALLAIS;PL ANDRE BROSSIER;FRANCE;49510;BEAUPREAU EN MAUGES;02 41 64 10 13;Pharmacie d'Officine
PHARMACIE BACHIMONT;14 GRANDE RUE;FRANCE;49140;JARZE VILLAGES;02 41 95 40 29;Pharmacie d'Officine
PHARMACIE GOUABAU - PIHOUEE;;FRANCE;49610;LES GARENNES SUR LOIRE;02 41 91 94 90;Pharmacie d'Officine
PHARMACIE BRUNACCI-REVERDY;PL DE LA MAIRIE;FRANCE;49270;OREE D ANJOU;02 40 98 72 19;Pharmacie d'Officine
PHARMACIE DE LA MAIRIE;5 R DU MARCHE;FRANCE;49220;LE LION D ANGERS;02 41 95 31 20;Pharmacie d'Officine
PHARMACIE DU HAUT ANJOU;5 R DES ROYERS;FRANCE;49220;LE LION D ANGERS;02 41 95 30 53;Pharmacie d'Officine
PHARMACIE TAILLEFAIT;12 R EUGENE BONNET;FRANCE;49710;SEVREMOINE;02 41 46 57 82;Pharmacie d'Officine
PHARMACIE DU MARCHE;14 R DE LA LIBERATION;FRANCE;49160;LONGUE JUMELLES;02 41 52 10 55;Pharmacie d'Officine
PHARMACIE BIGET - REVEILLON;11 R DE LA LIBERATION;FRANCE;49160;LONGUE JUMELLES;02 41 52 10 35;Pharmacie d'Officine
PHARMACIE MORAND;4 PL DU CHAMP DE FOIRE;FRANCE;49160;LONGUE JUMELLES;02 41 52 13 90;Pharmacie d'Officine
PHARMACIE LORETAINE;3 R DE L HIPPODROME;FRANCE;49370;VAL D ERDRE AUXENCE;02 41 77 41 80;Pharmacie d'Officine
PHARMACIE DU LAYON-MARTIGNE;PL DE L EGLISE;FRANCE;49540;TERRANJOU;02 41 59 42 59;Pharmacie d'Officine
PHARMACIE  CHARRIER;4 R JOSEPH FOYER;FRANCE;49360;MAULEVRIER;02 41 55 57 08;Pharmacie d'Officine
PHARMACIE DU CENTRE;55 R ST LOUIS;FRANCE;49122;LE MAY SUR EVRE;02 41 63 82 40;Pharmacie d'Officine
PHARMACIE PASQUIER-LALANNE;ZAC DE LA CONTRIE;FRANCE;49122;LE MAY SUR EVRE;02 41 63 80 12;Pharmacie d'Officine
PHARMACIE FORCADET;115 R PRINCIPALE;FRANCE;49630;MAZE MILON;02 41 80 60 23;Pharmacie d'Officine
PHARMACIE DU CENTRE;37 R PRINCIPALE;FRANCE;49630;MAZE MILON;;Pharmacie d'Officine
PHARMACIE BRESSON-JAMALI;1 RTE DU PLESSIS;FRANCE;49770;LONGUENEE EN ANJOU;;Pharmacie d'Officine
PHARMACIE BAUDRY-PARCE;4 R MARC LECLERC;FRANCE;49250;LA MENITRE;02 41 45 61 34;Pharmacie d'Officine
PHARMACIE DE MIRE;7 AV DU HAUT ANJOU;FRANCE;49330;MIRE;02 41 32 80 97;Pharmacie d'Officine
PHARMACIE LE SCRILL - CORBEL;5 PL SAINT MAURICE;FRANCE;49230;SEVREMOINE;02 41 64 70 68;Pharmacie d'Officine
PHARMACIE ROBINET;4 AV JEANNE D ARC;FRANCE;49570;MAUGES SUR LOIRE;02 41 39 05 72;Pharmacie d'Officine
PHARMACIE LAMBERT;1 AV DURET;FRANCE;49260;MONTREUIL BELLAY;02 41 52 30 28;Pharmacie d'Officine
PHARMACIE AUBRETON;316 R ESTIENVRIN;FRANCE;49260;MONTREUIL BELLAY;02 41 52 30 23;Pharmacie d'Officine
PHARMACIE DETALLANTE;15 R EMILE ZOLA;FRANCE;49460;MONTREUIL JUIGNE;02 41 42 30 43;Pharmacie d'Officine
PHARMACIE ERMANN;6 PL DES HALLES;FRANCE;49110;MONTREVAULT SUR EVRE;02 41 30 11 02;Pharmacie d'Officine
PHARMACIE VIALATOU;42 GRANDE RUE;FRANCE;49640;MORANNES SUR SARTHE DAUMER;02 41 42 20 81;Pharmacie d'Officine
PHARMACIE DU LOUET;1 R ROGER NAUD;FRANCE;49610;MURS ERIGNE;02 41 57 72 04;Pharmacie d'Officine
PHARMACIE RIVE SUD;26 R VALENTIN DES ORMEAUX;FRANCE;49610;MURS ERIGNE;02 41 57 76 90;Pharmacie d'Officine
PHARMACIE GIRAULT;9 GRANDE RUE;FRANCE;49490;NOYANT VILLAGES;02 41 89 50 25;Pharmacie d'Officine
PHARMACIE SELLIER-MONTAIGNE;5 R CONSTANT GERARD;FRANCE;49520;SEGRE EN ANJOU BLEU;02 41 61 73 39;Pharmacie d'Officine
PHARMACIE BOUCLE;RTE DE BAUGE;FRANCE;49490;NOYANT VILLAGES;02 41 89 50 46;Pharmacie d'Officine
PHARMACIE NEAU;7 PL DE L EGLISE;FRANCE;49560;LYS HAUT LAYON;02 41 59 50 56;Pharmacie d'Officine
PHARMACIE RAYMOND-TAUGOURDEAU;26 PL DE L ECHANSON;FRANCE;49112;VERRIERES EN ANJOU;02 41 76 70 28;Pharmacie d'Officine
PHARMACIE BRIANT;1 R DES TILLEULS;FRANCE;49110;BEAUPREAU EN MAUGES;02 41 70 00 32;Pharmacie d'Officine
PHARMACIE UZUREAU;35 R DES MAUGES;FRANCE;49620;MAUGES SUR LOIRE;02 41 77 74 48;Pharmacie d'Officine
PHARMACIE DE LA PROVIDENCE;2 PL SIMONE SIGNORET;FRANCE;49620;MAUGES SUR LOIRE;02 41 77 76 79;Pharmacie d'Officine
PHARMACIE SABIC-MEILLEROUX;26 R CHARLES DE GAULLE;FRANCE;49130;LES PONTS DE CE;02 41 44 61 50;Pharmacie d'Officine
PHARMACIE MARTY;46 R PASTEUR;FRANCE;49130;LES PONTS DE CE;02 41 44 60 43;Pharmacie d'Officine
PHARMACIE DE LA CHESNAIE;;FRANCE;49130;LES PONTS DE CE;02 41 44 80 80;Pharmacie d'Officine
PHARMACIE DUVAL;24 BD FOCH;FRANCE;49420;OMBREE D ANJOU;02 41 92 40 03;Pharmacie d'Officine
PHARMACIE RIVES;PL DE LA REPUBLIQUE;FRANCE;49420;OMBREE D ANJOU;02 41 92 40 01;Pharmacie d'Officine
PHARMACIE ROBIN - BLANC;R NOTRE DAME;FRANCE;49260;LE PUY NOTRE DAME;02 41 52 26 44;Pharmacie d'Officine
PHARMACIE LOIRE ET COTEAUX;14 PL SAINTE CROIX;FRANCE;49190;ROCHEFORT SUR LOIRE;02 41 78 70 14;Pharmacie d'Officine
PHARMACIE CHAUVEL-LECOMTE;23 R DE LA CROIX;FRANCE;49350;GENNES VAL DE LOIRE;02 41 38 01 87;Pharmacie d'Officine
PHARMACIE HY-BENETEAU;1 R LOUIS BRAILLE;FRANCE;49450;SEVREMOINE;02 41 55 32 15;Pharmacie d'Officine
PHARMACIE MICHARD-ERRARD;12 R JEAN JAURES;FRANCE;49124;ST BARTHELEMY D ANJOU;02 41 93 87 30;Pharmacie d'Officine
PHARMACIE DU PARC;18 RTE D ANGERS;FRANCE;49124;ST BARTHELEMY D ANJOU;02 41 93 80 86;Pharmacie d'Officine
PHARMACIE DU COEUR DE VILLE;12 R JEAN DE LURCAT;FRANCE;49124;ST BARTHELEMY D ANJOU;02 41 93 70 10;Pharmacie d'Officine
PHARMACIE GUILLEMOT-SAUVESTRE;2 R DU FIEF D ARES;FRANCE;49230;SEVREMOINE;02 41 70 40 16;Pharmacie d'Officine
PHARMACIE EVRE ET LOIRE;4 PL DE LA FEVRIERE;FRANCE;49410;MAUGES SUR LOIRE;02 41 72 50 13;Pharmacie d'Officine
PHARMACIE BROCHARD;ZONE INDUSTRIELLE LA CHEVALLERIE;FRANCE;49410;MAUGES SUR LOIRE;02 41 72 70 67;Pharmacie d'Officine
PHARMACIE SAUVAGET - GIRAUD;8 R DU 8 MAI 1945;FRANCE;49500;SEGRE EN ANJOU BLEU;02 41 92 84 11;Pharmacie d'Officine
PHARMACIE BOUFFARD-DESPRETZ;9 RTE DE BOUCHEMAINE;FRANCE;49130;STE GEMMES SUR LOIRE;02 41 66 78 20;Pharmacie d'Officine
PHARMACIE HUMEAU;ZAC DES FOUGERES;FRANCE;49170;ST GEORGES SUR LOIRE;02 41 39 12 39;Pharmacie d'Officine
PHARMACIE DES ROSIERS;5 R DES ROSIERS;FRANCE;49230;SEVREMOINE;;Pharmacie d'Officine
PHARMACIE DE ST LAMBERT DU LATTAY;25 R DU PONT BARRÉ;FRANCE;49750;VAL DU LAYON;;Pharmacie d'Officine
PHARMACIE DUNAYE-LEBRUN;R DES MAUGES;FRANCE;49290;MAUGES SUR LOIRE;02 41 78 17 80;Pharmacie d'Officine
PHARMACIE PRIOUZEAU;3 R DES GARENNES;FRANCE;49270;OREE D ANJOU;02 40 83 71 79;Pharmacie d'Officine
PHARMACIE SAINT LEGEOISE;2 R DE LA VENDEE;FRANCE;49280;ST LEGER SOUS CHOLET;02 41 58 14 03;Pharmacie d'Officine
PHARMACIE CHOLETAISE;6 R CHOLETAISE;FRANCE;49450;SEVREMOINE;02 41 55 31 42;Pharmacie d'Officine
PHARMACIE DU VAL DE LOIRE;7 R DU ROI RENE;FRANCE;49250;LOIRE AUTHION;02 41 57 00 68;Pharmacie d'Officine
PHARMACIE PERRIN-ACCAOUI;2 ALL DES PLANTES;FRANCE;49110;MONTREVAULT SUR EVRE;02 41 75 70 16;Pharmacie d'Officine
PHARMACIE TERLAIN;PAS SAINTE ANNE;FRANCE;49480;VERRIERES EN ANJOU;02 41 76 75 33;Pharmacie d'Officine
PHARMACIE SEBAG - CHAS;44 R DU VIEUX BAGNEUX;FRANCE;49400;SAUMUR;02 41 50 35 22;Pharmacie d'Officine
PHARMACIE DE LA GARE;1 R DE ROUEN;FRANCE;49400;SAUMUR;02 41 67 36 79;Pharmacie d'Officine
PHARMACIE MASSON - BELLION;73 R D ORLEANS;FRANCE;49400;SAUMUR;02 41 51 10 07;Pharmacie d'Officine
PHARMACIE SAINT PIERRE;18 PL SAINT PIERRE;FRANCE;49400;SAUMUR;02 41 51 25 04;Pharmacie d'Officine
PHARMACIE DE NANTILLY;PL NANTILLY;FRANCE;49400;SAUMUR;02 41 51 05 13;Pharmacie d'Officine
PHARMACIE SOURDEAU DE BEAUREGARD;56 AV DU GENERAL DE GAULLE;FRANCE;49400;SAUMUR;02 41 67 35 64;Pharmacie d'Officine
PHARMACIE GUYOT OLIVIER;27 R DE L'ECLUSE;FRANCE;49400;SAUMUR;02 41 50 21 21;Pharmacie d'Officine
PHARMACIE PRIEUR;935 R DU CHEMIN VERT;FRANCE;49400;SAUMUR;02 41 50 11 02;Pharmacie d'Officine
PHARMACIE BASCK;25 R FRANKLIN ROOSEVELT;FRANCE;49400;SAUMUR;02 41 51 11 63;Pharmacie d'Officine
PHARMACIE DU PONT FOUCHARD;69 R du Pont Fouchard;FRANCE;49400;SAUMUR;02 41 50 26 51;Pharmacie d'Officine
PHARMACIE  SAUMUR LE THOUET;51 BD DU MARECHAL DE LATTRE DE TA;FRANCE;49400;SAUMUR;02 41 51 31 25;Pharmacie d'Officine
PHARMACIE DES HAUTS QUARTIERS;40 R JEHAN ALAIN;FRANCE;49400;SAUMUR;02 41 51 10 90;Pharmacie d'Officine
PHARMACIE CAMUT;3 R PASTEUR;FRANCE;49500;SEGRE EN ANJOU BLEU;02 41 92 14 41;Pharmacie d'Officine
PHARMACIE GALIEN;10 PL DE LA REPUBLIQUE;FRANCE;49500;SEGRE EN ANJOU BLEU;02 41 92 23 08;Pharmacie d'Officine
PHARMACIE GICQUEL-LECOMTE;7 R GAMBETTA;FRANCE;49500;SEGRE EN ANJOU BLEU;02 41 92 11 48;Pharmacie d'Officine
PHARMACIE  BEAUVAIS;5 PL GRIGNION DE MONTFORT;FRANCE;49280;LA SEGUINIERE;02 41 56 90 34;Pharmacie d'Officine
SELARL S.S.L.;3 R HENRI REGNIER;FRANCE;49140;SEICHES SUR LE LOIR;02 41 76 20 57;Pharmacie d'Officine
PHARMACIE DES 2 LACS;48 AV GEORGES CLEMENCEAU;FRANCE;49280;LA TESSOUALLE;02 41 56 34 18;Pharmacie d'Officine
PHARMACIE DE BELLEVIGNE EN LAYON;2 R VICTOR HUGO;FRANCE;49380;BELLEVIGNE EN LAYON;02 41 54 14 02;Pharmacie d'Officine
PHARMACIE REULIER-MAITRE;11 R D ANJOU;FRANCE;49125;TIERCE;02 41 42 62 69;Pharmacie d'Officine
PHARMACIE HUET;3 PL CLEMENCEAU;FRANCE;49660;SEVREMOINE;02 41 46 60 97;Pharmacie d'Officine
PHARMACIE BELLEVUE;AV PIERRE MENDES FRANCE;FRANCE;49800;TRELAZE;02 41 69 01 60;Pharmacie d'Officine
PHARMACIE BEDON-BODIN;99 R JEAN JAURES;FRANCE;49800;TRELAZE;02 41 69 00 27;Pharmacie d'Officine
PHARMACIE FONTENEAU;70 R DU GENERAL DE GAULLE;FRANCE;49340;TREMENTINES;02 41 62 47 24;Pharmacie d'Officine
PHARMACIE CHUPIN;1 R DU VIEUX CHATEAU;FRANCE;49670;CHEMILLE EN ANJOU;02 41 45 43 28;Pharmacie d'Officine
PHARMACIE GIRAULT;1 R de l'Harmonie;FRANCE;49730;VARENNES SUR LOIRE;02 41 51 72 28;Pharmacie d'Officine
PHARMACIE DES ROGELINS;29 ALL DES TILLEULS;FRANCE;49400;VARRAINS;;Pharmacie d'Officine
PHARMACIE DES DEUX CLOCHERS;9 PL DE L EGLISE;FRANCE;49390;VERNANTES;02 41 51 50 07;Pharmacie d'Officine
PHARMACIE DU COMMERCE;3 R HERVE BAZIN;FRANCE;49220;ERDRE EN ANJOU;02 41 61 41 45;Pharmacie d'Officine
PHARMACIE PETIT;2 R DU CENTRE;FRANCE;49390;VERNOIL LE FOURRIER;02 41 51 51 28;Pharmacie d'Officine
PHARMACIE HAMON;46 R CHENEVAU;FRANCE;49340;VEZINS;02 41 64 45 61;Pharmacie d'Officine
SELARL PHARMACIE BISIAU;8 R Nationale;FRANCE;49310;LYS HAUT LAYON;02 41 75 80 39;Pharmacie d'Officine
PHARMACIE MURAIL;26 R DES CHEVALIERS DE MALTE;FRANCE;49450;BEAUPREAU EN MAUGES;02 41 30 90 79;Pharmacie d'Officine
PHARMACIE MOREL;6 R SAINT PIERRE;FRANCE;49140;RIVES DU LOIR EN ANJOU;02 41 69 51 20;Pharmacie d'Officine
PHARMACIE DU CENTRE;40 RUE NATIONALE;FRANCE;49680;VIVY;02 41 52 51 11;Pharmacie d'Officine
PHARMACIE BOUILLAUD - FOUCAULT;10 R STOFFLET;FRANCE;49360;YZERNAY;02 41 55 57 92;Pharmacie d'Officine
PHARMACIE DES MEUNIERS;36 R DES MEUNIERS;FRANCE;49124;LE PLESSIS GRAMMOIRE;02 41 76 77 07;Pharmacie d'Officine
PHARMACIE DE LA GUILLEBOTTE;AV GALLIENI;FRANCE;49130;LES PONTS DE CE;02 41 47 28 15;Pharmacie d'Officine
PHARMACIE SAINT MARTIN;R DU PORT;FRANCE;49160;GENNES VAL DE LOIRE;02 41 38 40 18;Pharmacie d'Officine
PHARMACIE GRIMAUD;2 R DES EGLANTINES;FRANCE;49640;MORANNES SUR SARTHE DAUMER;02 41 32 58 21;Pharmacie d'Officine
PHARMACIE DU SACRE COEUR;11 BD GUY CHOUTEAU;FRANCE;49300;CHOLET;;Pharmacie d'Officine
LA GRANDE PHARMACIE;119 R NATIONALE;FRANCE;49300;CHOLET;02 41 65 63 24;Pharmacie d'Officine
PHARMACIE BAILLIARD - LAMBERT;;FRANCE;49300;CHOLET;02 41 62 34 82;Pharmacie d'Officine
PHARMACIE CLAIREFONTAINE;SQ MONTGEOFFROY;FRANCE;49300;CHOLET;02 41 62 85 51;Pharmacie d'Officine
PHARMACIE DES CALINS;16 AV DES CALINS;FRANCE;49300;CHOLET;02 41 29 10 25;Pharmacie d'Officine
PHARMACIE DU CARTERON;32 R CARTERON;FRANCE;49300;CHOLET;02 41 62 52 66;Pharmacie d'Officine
PHARMACIE DAULT-LE CONNETABLE;12 AV DE LA LIBERATION;FRANCE;49300;CHOLET;02 41 62 31 51;Pharmacie d'Officine
PHARMACIE ESPACE MARNE;12 AV DE LA MARNE;FRANCE;49300;CHOLET;02 41 62 14 86;Pharmacie d'Officine
PHARMACIE DENIS;9 PL du 77ème Régiment d'Infante;FRANCE;49300;CHOLET;02 41 62 03 12;Pharmacie d'Officine
PHARMACIE MURIER;AV DE MOCRAT;FRANCE;49300;CHOLET;02 41 62 58 13;Pharmacie d'Officine
PHARMACIE DES ROCHES;27 R LAENNEC;FRANCE;49300;CHOLET;02 41 62 22 86;Pharmacie d'Officine
PHARMACIE AUBINEAU;28 AV DE LA CROIX DE GUERRE;FRANCE;49400;SAUMUR;02 41 67 54 46;Pharmacie d'Officine
PHARMACIE MUTUALISTE;PL DU PUITS DE L AIRE;FRANCE;49300;CHOLET;;Pharmacie Mutualiste
PHARMACIE FAUQUEUR-MERRIEN;202 R JEAN JAURES;FRANCE;49800;TRELAZE;02 41 69 02 59;Pharmacie d'Officine
PHARMACIE DU GRAND MAINE;R DU GRAND LAUNAY;FRANCE;49000;ANGERS;02 41 73 33 40;Pharmacie d'Officine
PHARMACIE VICTOR HUGO;10 R VICTOR HUGO;FRANCE;49460;MONTREUIL JUIGNE;02 41 42 41 42;Pharmacie d'Officine
PHARMACIE DE CHAUDRON;2 PL DU CHANOINE COLONEL PANAGET;FRANCE;49110;MONTREVAULT SUR EVRE;02 41 70 10 27;Pharmacie d'Officine
PHARMACIE DESNOES;PL DE LA MAIRIE;FRANCE;49170;LA POSSONNIERE;02 41 72 20 26;Pharmacie d'Officine
PHARMACIE DES RIVES DU LOIR;11 PL DE LA MAIRIE;FRANCE;49140;RIVES DU LOIR EN ANJOU;02 41 32 23 04;Pharmacie d'Officine
PHARMACIE D'ANDARD;55 GRANDE RUE;FRANCE;49800;LOIRE AUTHION;02 41 54 96 34;Pharmacie d'Officine
PHARMACIE BONNELLE - BECQUART;1 AV DU MARECHAL KOENIG;FRANCE;49300;CHOLET;02 41 58 49 50;Pharmacie d'Officine
PHARMACIE COINTEREAU;2 R DU PATIS;FRANCE;49610;MOZE SUR LOUET;02 41 45 70 33;Pharmacie d'Officine
